date [mm-dd],city_lower,city_mean,city_upper
03-21,Rotterdam_5.20,Rotterdam_7.78,Rotterdam_10.36
03-21,Vlieland_5.40,Vlieland_7.40,Vlieland_9.40
03-22,Eindhoven_4.56,Eindhoven_8.74,Eindhoven_12.92
03-22,Rotterdam_4.82,Rotterdam_8.52,Rotterdam_12.22
03-22,Vlieland_4.54,Vlieland_7.50,Vlieland_10.46
03-23,Eindhoven_5.58,Eindhoven_8.88,Eindhoven_12.18
03-23,Rotterdam_5.06,Rotterdam_8.58,Rotterdam_12.10
03-23,Vlieland_4.74,Vlieland_7.72,Vlieland_10.70
03-24,Eindhoven_5.64,Eindhoven_8.36,Eindhoven_11.08
03-24,Rotterdam_5.31,Rotterdam_8.20,Rotterdam_11.09
03-24,Vlieland_5.88,Vlieland_7.52,Vlieland_9.16
03-25,Eindhoven_6.73,Eindhoven_8.32,Eindhoven_9.91
03-25,Rotterdam_6.57,Rotterdam_8.36,Rotterdam_10.15
03-25,Vlieland_6.31,Vlieland_7.34,Vlieland_8.37
03-26,Eindhoven_5.83,Eindhoven_8.36,Eindhoven_10.89
03-26,Rotterdam_5.80,Rotterdam_8.16,Rotterdam_10.52
03-26,Vlieland_5.84,Vlieland_7.48,Vlieland_9.12
03-27,Eindhoven_4.38,Eindhoven_7.22,Eindhoven_10.06
03-27,Rotterdam_4.92,Rotterdam_7.66,Rotterdam_10.40
03-27,Vlieland_5.30,Vlieland_6.80,Vlieland_8.30
03-28,Eindhoven_5.41,Eindhoven_8.24,Eindhoven_11.07
03-28,Rotterdam_5.61,Rotterdam_7.94,Rotterdam_10.27
03-28,Vlieland_5.67,Vlieland_7.22,Vlieland_8.77
03-29,Eindhoven_5.26,Eindhoven_9.54,Eindhoven_13.82
03-29,Rotterdam_5.44,Rotterdam_8.88,Rotterdam_12.32
03-29,Vlieland_5.46,Vlieland_7.62,Vlieland_9.78
03-30,Eindhoven_4.71,Eindhoven_9.94,Eindhoven_15.17
03-30,Rotterdam_4.65,Rotterdam_9.44,Rotterdam_14.23
03-30,Vlieland_5.09,Vlieland_8.04,Vlieland_10.99
03-31,Eindhoven_2.43,Eindhoven_8.52,Eindhoven_14.61
03-31,Rotterdam_2.04,Rotterdam_8.06,Rotterdam_14.08
03-31,Vlieland_2.44,Vlieland_7.02,Vlieland_11.60
04-01,Eindhoven_1.98,Eindhoven_7.10,Eindhoven_12.22
04-01,Rotterdam_2.89,Rotterdam_6.72,Rotterdam_10.55
04-01,Vlieland_5.23,Vlieland_6.72,Vlieland_8.21
04-02,Eindhoven_2.69,Eindhoven_5.88,Eindhoven_9.07
04-02,Rotterdam_3.68,Rotterdam_6.62,Rotterdam_9.56
04-02,Vlieland_4.54,Vlieland_6.60,Vlieland_8.66
